SIGNATURES 12 250
ALLOPT 0 28/13 rootsig (4,) branches (((14, 34), (4, (((12, 16), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((8, 8), (0, (((0, 0), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 8), (0, ())))))))), ((26, 42), (0, (((0, 0), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 8), (0, ()))))))
ALLOPT 1 28/13 rootsig (4,) branches (((14, 34), (4, (((12, 16), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((8, 8), (0, (((0, 0), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 8), (0, ())))))))), ((26, 42), (0, (((0, 4), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))))
ALLOPT 2 28/13 rootsig (4,) branches (((14, 34), (4, (((12, 16), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((8, 8), (0, (((0, 4), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))))))))), ((26, 42), (0, (((0, 0), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 8), (0, ()))))))
ALLOPT 3 28/13 rootsig (4,) branches (((14, 34), (4, (((12, 16), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((8, 8), (0, (((0, 4), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))))))))), ((26, 42), (0, (((0, 4), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))))
ALLOPT 4 28/13 rootsig (4,) branches (((14, 34), (4, (((4, 12), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((4, 16), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ())))))))), ((26, 42), (0, (((0, 0), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 8), (0, ()))))))
ALLOPT 5 28/13 rootsig (4,) branches (((14, 34), (4, (((4, 12), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((4, 16), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ())))))))), ((26, 42), (0, (((0, 4), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))))
ALLOPT 6 28/13 rootsig (4,) branches (((14, 34), (4, (((4, 12), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 12), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ())))))))), ((26, 42), (0, (((0, 0), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 8), (0, ()))))))
ALLOPT 7 28/13 rootsig (4,) branches (((14, 34), (4, (((4, 12), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 12), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ())))))))), ((26, 42), (0, (((0, 4), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))))
ALLOPT 8 28/13 rootsig (4,) branches (((14, 34), (4, (((4, 4), (8, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 12), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ())))))))), ((26, 42), (0, (((0, 0), (0, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 8), (0, ()))))))
ALLOPT 9 28/13 rootsig (4,) branches (((14, 34), (4, (((4, 4), (8, (((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))), ((8, 12), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ())))))))), ((26, 42), (0, (((0, 4), (4, (((0, 4), (0, (((2, 2), (0, ())), ((2, 2), (0, ()))))), ((4, 4), (0, ()))))), ((4, 8), (0, (((2, 2), (0, ())), ((2, 2), (0, ())))))))))
